id,symbol,date,open_price,close_price,high_price,low_price,volume,prediction
563,MSFT,2024-10-16,415.17,416.12,416.36,410.48,15508932,
562,MSFT,2024-10-17,422.36,416.72,422.5,415.59,14820004,
561,MSFT,2024-10-18,417.14,418.16,419.65,416.2601,17145317,
661,MSFT,2024-10-19,0.0,0.0,0.0,0.0,0,261.25482177734375
662,MSFT,2024-10-20,0.0,0.0,0.0,0.0,0,229.19053649902344
663,MSFT,2024-10-21,0.0,0.0,0.0,0.0,0,229.14524841308594
664,MSFT,2024-10-22,0.0,0.0,0.0,0.0,0,229.18678283691406
665,MSFT,2024-10-23,0.0,0.0,0.0,0.0,0,229.18678283691406
666,MSFT,2024-10-24,0.0,0.0,0.0,0.0,0,229.18678283691406
667,MSFT,2024-10-25,0.0,0.0,0.0,0.0,0,229.18678283691406
668,MSFT,2024-10-26,0.0,0.0,0.0,0.0,0,229.18678283691406
669,MSFT,2024-10-27,0.0,0.0,0.0,0.0,0,229.18678283691406
670,MSFT,2024-10-28,0.0,0.0,0.0,0.0,0,229.18678283691406
671,MSFT,2024-10-29,0.0,0.0,0.0,0.0,0,229.18678283691406
672,MSFT,2024-10-30,0.0,0.0,0.0,0.0,0,229.18678283691406
673,MSFT,2024-10-31,0.0,0.0,0.0,0.0,0,229.18678283691406
674,MSFT,2024-11-01,0.0,0.0,0.0,0.0,0,229.18678283691406
675,MSFT,2024-11-02,0.0,0.0,0.0,0.0,0,219.42808532714844
676,MSFT,2024-11-03,0.0,0.0,0.0,0.0,0,219.13284301757812
677,MSFT,2024-11-04,0.0,0.0,0.0,0.0,0,203.6778106689453
678,MSFT,2024-11-05,0.0,0.0,0.0,0.0,0,202.0316925048828
679,MSFT,2024-11-06,0.0,0.0,0.0,0.0,0,197.98109436035156
680,MSFT,2024-11-07,0.0,0.0,0.0,0.0,0,198.06240844726562
681,MSFT,2024-11-08,0.0,0.0,0.0,0.0,0,193.91180419921875
682,MSFT,2024-11-09,0.0,0.0,0.0,0.0,0,192.3398895263672
683,MSFT,2024-11-10,0.0,0.0,0.0,0.0,0,176.77195739746094
684,MSFT,2024-11-11,0.0,0.0,0.0,0.0,0,167.4939422607422
685,MSFT,2024-11-12,0.0,0.0,0.0,0.0,0,162.62347412109375
686,MSFT,2024-11-13,0.0,0.0,0.0,0.0,0,158.459228515625
687,MSFT,2024-11-14,0.0,0.0,0.0,0.0,0,154.83279418945312
688,MSFT,2024-11-15,0.0,0.0,0.0,0.0,0,153.85040283203125
689,MSFT,2024-11-16,0.0,0.0,0.0,0.0,0,146.9406280517578
690,MSFT,2024-11-17,0.0,0.0,0.0,0.0,0,142.86367797851562
691,MSFT,2024-11-18,0.0,0.0,0.0,0.0,0,117.05284881591797
692,MSFT,2024-11-19,0.0,0.0,0.0,0.0,0,141.49681091308594
693,MSFT,2024-11-20,0.0,0.0,0.0,0.0,0,141.49681091308594
694,MSFT,2024-11-21,0.0,0.0,0.0,0.0,0,141.49681091308594
695,MSFT,2024-11-22,0.0,0.0,0.0,0.0,0,141.49681091308594
696,MSFT,2024-11-23,0.0,0.0,0.0,0.0,0,141.49681091308594
697,MSFT,2024-11-24,0.0,0.0,0.0,0.0,0,141.49681091308594
698,MSFT,2024-11-25,0.0,0.0,0.0,0.0,0,141.49681091308594
699,MSFT,2024-11-26,0.0,0.0,0.0,0.0,0,141.49681091308594
700,MSFT,2024-11-27,0.0,0.0,0.0,0.0,0,141.49681091308594
701,MSFT,2024-11-28,0.0,0.0,0.0,0.0,0,139.69985961914062
702,MSFT,2024-11-29,0.0,0.0,0.0,0.0,0,139.69985961914062
703,MSFT,2024-11-30,0.0,0.0,0.0,0.0,0,142.9728240966797
704,MSFT,2024-12-01,0.0,0.0,0.0,0.0,0,145.45285034179688
705,MSFT,2024-12-02,0.0,0.0,0.0,0.0,0,146.8322296142578
706,MSFT,2024-12-03,0.0,0.0,0.0,0.0,0,152.05682373046875
707,MSFT,2024-12-04,0.0,0.0,0.0,0.0,0,160.1497802734375
708,MSFT,2024-12-05,0.0,0.0,0.0,0.0,0,161.99256896972656
709,MSFT,2024-12-06,0.0,0.0,0.0,0.0,0,163.65994262695312
710,MSFT,2024-12-07,0.0,0.0,0.0,0.0,0,166.62429809570312
711,MSFT,2024-12-08,0.0,0.0,0.0,0.0,0,170.1675262451172
712,MSFT,2024-12-09,0.0,0.0,0.0,0.0,0,170.88731384277344
713,MSFT,2024-12-10,0.0,0.0,0.0,0.0,0,170.88731384277344
714,MSFT,2024-12-11,0.0,0.0,0.0,0.0,0,172.1326141357422
715,MSFT,2024-12-12,0.0,0.0,0.0,0.0,0,176.85569763183594
716,MSFT,2024-12-13,0.0,0.0,0.0,0.0,0,179.15037536621094
717,MSFT,2024-12-14,0.0,0.0,0.0,0.0,0,178.5658416748047
718,MSFT,2024-12-15,0.0,0.0,0.0,0.0,0,182.41282653808594
719,MSFT,2024-12-16,0.0,0.0,0.0,0.0,0,183.2259521484375
720,MSFT,2024-12-17,0.0,0.0,0.0,0.0,0,185.8958740234375
721,MSFT,2024-12-18,0.0,0.0,0.0,0.0,0,116.77902221679688
722,MSFT,2024-12-19,0.0,0.0,0.0,0.0,0,140.95535278320312
723,MSFT,2024-12-20,0.0,0.0,0.0,0.0,0,140.95535278320312
724,MSFT,2024-12-21,0.0,0.0,0.0,0.0,0,140.95535278320312
725,MSFT,2024-12-22,0.0,0.0,0.0,0.0,0,140.95535278320312
